,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
9117,Property in  Raja Annamalai Puram,Flat,1 RK,2,No,Chennai,"Jai maruthi apartment ,Mandavelipakkam, Raja Annamalai Puram,Chennai",510,12160,6200000,"1 BHK Flat for sale in Raja Annamalai Puram, Chennai",Small Property,Mid Segment
9118,Property in Guduvancheri,Independent House,3 BHK,3,No,Chennai,"Guduvancheri, Chennai",1200,5170,6200000,"3 BHK Independent House for sale in Guduvancheri, Chennai",Mid sized Property,Mid Segment
9119,Property in Singaperumal Koil,Flat,2 BHK,2,Yes,Chennai,"Arun Excello Narmada,Singaperumal Koil, Chennai",645,4190,2700000,"2 BHK Flat for sale in Singaperumal Koil, Chennai",Small Property,Affordable Segment
9120,Property in  Ambattur,Flat,2 BHK,3,No,Chennai,"Kalyanapuram, Ambattur,Chennai",950,4210,4000000,"2 BHK Flat for sale in Ambattur, Chennai",Mid sized Property,Affordable Segment
9121,Property in Korattur,Flat,2 BHK,3,No,Chennai,"Korattur, Chennai",865,6000,5190000,"2 BHK Flat for sale in Korattur, Chennai",Mid sized Property,Affordable Segment
9122,Property in Kilpakkam- Arakkonam,Independent House,3 BHK,3,Yes,Chennai,"Kilpakkam- Arakkonam, Chennai",1260,4760,6000000,"3 BHK Independent House for sale in Kilpakkam- Arakkonam, Chennai",Mid sized Property,Affordable Segment
9123,Property in  Korattur,Independent House,2 BHK,3,Yes,Chennai,"Tillai Nagar, Korattur,Chennai",890,7870,7000000,"2 BHK Independent House for sale in Korattur, Chennai",Mid sized Property,Mid Segment
9124,Property in Chengalpattu,Independent House,1 RK,2,Yes,Chennai,"Doctors city,Chengalpattu, Chennai",400,4250,1700000,"1 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9125,Property in  KK Nagar,Independent House,1 RK,1,No,Chennai,"Sector 5, KK Nagar,Chennai",360,15280,5500000,"1 BHK Independent House for sale in KK Nagar, Chennai",Small Property,Affordable Segment
9126,Property in Siruniam,Independent House,3 BHK,3,No,Chennai,"Siruniam, Chennai",1500,3670,5500000,"3 BHK Independent House for sale in Siruniam, Chennai",Mid sized Property,Affordable Segment
9127,Property in  Chengalpattu,Independent House,2 BHK,6,No,Chennai,"Anna Nagar, Chengalpattu,Chennai",800,4470,3580000,"2 BHK Independent House for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
9128,Property in  Virugambakkam,Independent House,2 BHK,2,Yes,Chennai,"Elango Nagar Extension, Virugambakkam,Chennai",720,12500,9000000,"2 BHK Independent House for sale in Virugambakkam, Chennai",Small Property,Mid Segment
9129,Property in  West Tambaram,Independent House,2 BHK,3,No,Chennai,"Patel Nagar, West Tambaram,Chennai",1200,5170,6200000,"2 BHK Independent House for sale in West Tambaram, Chennai",Mid sized Property,Mid Segment
9130,Property in Kattur,Flat,2 BHK,3,Yes,Chennai,"Nithish Developers,Kattur, Chennai",832,5100,4243000,"2 BHK Flat for sale in Kattur, Chennai",Mid sized Property,Affordable Segment
9131,Property in Veppampattu,Independent House,1 RK,3,No,Chennai,"Veppampattu, Chennai",860,3490,3000000,"1 BHK Independent House for sale in Veppampattu, Chennai",Mid sized Property,Affordable Segment
9132,Property in  West Tambaram,Flat,1 RK,2,Yes,Chennai,"bharath law college,Rajiv Gandhi Nagar, West Tambaram,Chennai",476,4940,2350000,"1 BHK Flat for sale in West Tambaram, Chennai",Small Property,Affordable Segment
9133,Property in Avadi,Independent House,2 BHK,3,Yes,Chennai,"Avadi, Chennai",800,6500,5200000,"2 BHK Independent House for sale in Avadi, Chennai",Small Property,Affordable Segment
9134,Property in  Manali,Independent House,2 BHK,2,No,Chennai,"Manali New Town ,Manali New Town, Manali,Chennai",780,5510,4300000,"2 BHK Independent House for sale in Manali, Chennai",Small Property,Affordable Segment
9135,Property in Singaperumal Koil,Flat,2 BHK,3,Yes,Chennai,"brindavan ,Singaperumal Koil, Chennai",950,4000,3800000,"2 BHK Flat for sale in Singaperumal Koil, Chennai",Mid sized Property,Affordable Segment
9136,Property in Kundrathur,Independent House,3 BHK,3,Yes,Chennai,"Kundrathur, Chennai",1250,4800,6000000,"3 BHK Independent House for sale in Kundrathur, Chennai",Mid sized Property,Affordable Segment
9137,Property in Kundrathur,Independent House,3 BHK,3,No,Chennai,"Kundrathur, Chennai",1251,4960,6200000,"3 BHK Independent House for sale in Kundrathur, Chennai",Mid sized Property,Mid Segment
9138,Property in Alandur,Flat,3 BHK,3,Yes,Chennai,"Temple View by ARRR constructions,Alandur, Chennai",1330,6320,8400000,"3 BHK Flat for sale in Alandur, Chennai",Mid sized Property,Mid Segment
9139,Property in Kalpakkam,Villa,3 BHK,3,Yes,Chennai,"Kalpakkam, Chennai",1000,3800,3800000,"3 BHK Villa for sale in Kalpakkam, Chennai",Mid sized Property,Affordable Segment
9140,Property in  Kodungaiyur East,Independent House,3 BHK,3,No,Chennai,"Susila Nagar, Kodungaiyur East,Chennai",1300,3850,5000000,"3 BHK Independent House for sale in Kodungaiyur East, Chennai",Mid sized Property,Affordable Segment
