,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
3962,Property in  Malviya Nagar,Flat,4 BHK,3,No,New Delhi,"Sheikh,DDA Flats, Malviya Nagar,New Delhi",1440,11460,16500000,"4 BHK Flat for sale in Malviya Nagar, New Delhi",Mid sized Property,Mid Segment
3963,Property in  Shalimar Bagh,Independent House,10 BHK,4,Yes,New Delhi,"West Shalimar Bagh, Shalimar Bagh,New Delhi",2700,74070,200000000,"10 BHK Independent House for sale in Shalimar Bagh, New Delhi",Mid-Large sized Property,UltraLuxury Segment
3964,Property in  Patparganj,Flat,3 BHK,3,No,New Delhi,"IP Extension, Patparganj,New Delhi",1600,10940,17500000,"3 BHK Flat for sale in Patparganj, New Delhi",Mid sized Property,Mid Segment
3965,Property in  Nizamuddin East,Flat,3 BHK,3,Yes,New Delhi,"Block A, Nizamuddin East,New Delhi",1485,37040,55000000,"3 BHK Flat for sale in Nizamuddin East, New Delhi",Mid sized Property,Luxury Segment
3966,Property in  Shalimar Bagh,Flat,6 BHK,6,Yes,New Delhi,"West Shalimar Bagh, Shalimar Bagh,New Delhi",2000,9000,18000000,"6 BHK Flat for sale in Shalimar Bagh, New Delhi",Mid sized Property,Mid Segment
3967,Property in  Dilshad Garden,Flat,3 BHK,3,Yes,New Delhi,"Taharpur Village, Dilshad Garden,New Delhi",1400,12860,18000000,"3 BHK Flat for sale in Dilshad Garden, New Delhi",Mid sized Property,Mid Segment
3968,Property in  Pitampura,Flat,3 BHK,3,Yes,New Delhi,"Shiva Enclave, Pitampura,New Delhi",1069,9820,10500000,"3 BHK Flat for sale in Pitampura, New Delhi",Mid sized Property,Mid Segment
3969,Property in  Ashok Vihar,Flat,3 BHK,3,Yes,New Delhi,"MIG Apartments,Phase 3, Ashok Vihar,New Delhi",1100,11820,13000000,"3 BHK Flat for sale in Ashok Vihar, New Delhi",Mid sized Property,Mid Segment
3970,Property in Manglapuri,Flat,4 BHK,4,Yes,New Delhi,"anand bhawan,Manglapuri, New Delhi",2287,5250,12000000,"4 BHK Flat for sale in Manglapuri, New Delhi",Mid-Large sized Property,Mid Segment
3971,Property in Manglapuri,Flat,4 BHK,4,Yes,New Delhi,"anand bhawan,Manglapuri, New Delhi",2287,6120,14000000,"4 BHK Flat for sale in Manglapuri, New Delhi",Mid-Large sized Property,Mid Segment
3972,Property in  Narela,Independent House,5 BHK,4,Yes,New Delhi,"Narela Mandi, Narela,New Delhi",2400,6250,15000000,"5 BHK Independent House for sale in Narela, New Delhi",Mid-Large sized Property,Mid Segment
3973,Property in  Shahdara,Independent House,7 BHK,4,Yes,New Delhi,"Rohitash Nagar East, Shahdara,New Delhi",2700,5920,16000000,"7 BHK Independent House for sale in Shahdara, New Delhi",Mid-Large sized Property,Mid Segment
3974,Property in  Inder Puri,Flat,4 BHK,4,Yes,New Delhi,"Block F, Inder Puri,New Delhi",2250,8890,20000000,"4 BHK Flat for sale in Inder Puri, New Delhi",Mid-Large sized Property,Mid Segment
3975,Property in  Jhilmil Colony,Flat,2 BHK,3,No,New Delhi,"Pocket A, Jhilmil Colony,New Delhi",900,11110,10000000,"2 BHK Flat for sale in Jhilmil Colony, New Delhi",Mid sized Property,Mid Segment
3976,Property in Gautam Nagar,Independent House,3 BHK,3,Yes,New Delhi,"Gautam Nagar, New Delhi",1070,13080,14000000,"3 BHK Independent House for sale in Gautam Nagar, New Delhi",Mid sized Property,Mid Segment
3977,Property in  Vikram Nagar,Independent House,2 BHK,2,Yes,New Delhi,"Feroze Shah Kotla, Vikram Nagar,New Delhi",650,19230,12500000,"2 BHK Independent House for sale in Vikram Nagar, New Delhi",Small Property,Mid Segment
3978,Property in  Saket,Flat,4 BHK,3,No,New Delhi,"Block J, Saket,New Delhi",1500,25000,37500000,"4 BHK Flat for sale in Saket, New Delhi",Mid sized Property,Luxury Segment
3979,Property in  Saket,Independent House,7 BHK,4,Yes,New Delhi,"Block J, Saket,New Delhi",2100,35480,74500000,"7 BHK Independent House for sale in Saket, New Delhi",Mid-Large sized Property,Luxury Segment
3980,Property in Krishna Nagar,Independent House,4 BHK,2,Yes,New Delhi,"Krishna Nagar, New Delhi",500,26000,13000000,"4 BHK Independent House for sale in Krishna Nagar, New Delhi",Small Property,Mid Segment
3981,Property in Dera Mandi,Villa,5 BHK,3,Yes,New Delhi,"Dera farm House,Dera Mandi, New Delhi",10800,9260,100000000,"5 BHK Villa for sale in Dera Mandi, New Delhi",Large Property,Luxury Segment
3982,Property in Radhey Mohan Drive,Villa,5 BHK,5,Yes,New Delhi,"Farmhouse ,Radhey Mohan Drive, New Delhi",10800,9260,100000000,"5 BHK Villa for sale in Radhey Mohan Drive, New Delhi",Large Property,Luxury Segment
3983,Property in  Mehrauli,Independent House,5 BHK,3,No,New Delhi,"Nai Basti, Mehrauli,New Delhi",1337,11220,15000000,"5 BHK Independent House for sale in Mehrauli, New Delhi",Mid sized Property,Mid Segment
3984,Property in  Shahdara,Independent House,6 BHK,2,Yes,New Delhi,"New Seelampur, Shahdara,New Delhi",621,23350,14500000,"6 BHK Independent House for sale in Shahdara, New Delhi",Small Property,Mid Segment
3985,Property in  Chhattarpur,Independent House,6 BHK,2,Yes,New Delhi,"Rajpur Khurd Village, Chhattarpur,New Delhi",675,14810,10000000,"6 BHK Independent House for sale in Chhattarpur, New Delhi",Small Property,Mid Segment
3986,Property in  Sudarshan Park,Independent House,4 BHK,4,Yes,New Delhi,"Block D, Sudarshan Park,New Delhi",2200,5000,11000000,"4 BHK Independent House for sale in Sudarshan Park, New Delhi",Mid-Large sized Property,Mid Segment
3987,Property in  Shakarpur Khas,Independent House,8 BHK,5,Yes,New Delhi,"Nanakpura, Shakarpur Khas,New Delhi",5400,4810,26000000,"8 BHK Independent House for sale in Shakarpur Khas, New Delhi",Large Property,Mid Segment
3988,Property in  Shahdara,Independent House,10 BHK,3,No,New Delhi,"New Seelampur, Shahdara,New Delhi",1337,23930,32000000,"10 BHK Independent House for sale in Shahdara, New Delhi",Mid sized Property,Luxury Segment
3989,Property in  Sector 3 Rohini,Independent House,4 BHK,4,Yes,New Delhi,"Sector 3B, Sector 3 Rohini,New Delhi",2200,11360,25000000,"4 BHK Independent House for sale in Sector 3 Rohini, New Delhi",Mid-Large sized Property,Mid Segment
3990,Property in  Sector 8 Rohini,Independent House,3 BHK,2,Yes,New Delhi,"Sector 8B, Sector 8 Rohini,New Delhi",452,33190,15000000,"3 BHK Independent House for sale in Sector 8 Rohini, New Delhi",Small Property,Mid Segment
3991,Property in Ghevra,Independent House,10 BHK,4,Yes,New Delhi,"Ghevra, New Delhi",2500,6800,17000000,"10 BHK Independent House for sale in Ghevra, New Delhi",Mid-Large sized Property,Mid Segment
3992,Property in  Gujranwala Town,Independent House,8 BHK,4,Yes,New Delhi,"Block B, Gujranwala Town,New Delhi",8000,5630,45000000,"8 BHK Independent House for sale in Gujranwala Town, New Delhi",Large Property,Luxury Segment
3993,Property in Gautam Nagar,Flat,3 BHK,3,No,New Delhi,"Opp to Gulmohar Enclave,Gautam Nagar, New Delhi",1160,10780,12500000,"3 BHK Flat for sale in Gautam Nagar, New Delhi",Mid sized Property,Mid Segment
3994,Property in  Manglapuri,Independent House,3 BHK,3,No,New Delhi,"Block B 2, Manglapuri,New Delhi",900,13330,12000000,"3 BHK Independent House for sale in Manglapuri, New Delhi",Mid sized Property,Mid Segment
3995,Property in  Sagar Pur,Independent House,3 BHK,3,Yes,New Delhi,"Main Sagarpur, Sagar Pur,New Delhi",980,15310,15000000,"3 BHK Independent House for sale in Sagar Pur, New Delhi",Mid sized Property,Mid Segment
3996,Property in West Sagarpur,Independent House,3 BHK,3,No,New Delhi,"West Sagarpur, New Delhi",980,15310,15000000,"3 BHK Independent House for sale in West Sagarpur, New Delhi",Mid sized Property,Mid Segment
3997,Property in  Anand Niketan,Flat,3 BHK,3,Yes,New Delhi,"Block B, Anand Niketan,New Delhi",1900,32890,62500000,"3 BHK Flat for sale in Anand Niketan, New Delhi",Mid sized Property,Luxury Segment
3998,Property in  New Ashok Nagar,Independent House,10 BHK,3,Yes,New Delhi,"Ashok Nagar Extension, New Ashok Nagar,New Delhi",3150,3490,11000000,"10 BHK Independent House for sale in New Ashok Nagar, New Delhi",Mid-Large sized Property,Mid Segment
3999,Property in Laxmi Nagar,Independent House,3 BHK,3,Yes,New Delhi,"Laxmi Nagar, New Delhi",3900,6410,25000000,"3 BHK Independent House for sale in Laxmi Nagar, New Delhi",Large Property,Mid Segment
4000,Property in  Shahdara,Independent House,7 BHK,3,Yes,New Delhi,"Ram Nagar, Shahdara,New Delhi",816,17160,14000000,"7 BHK Independent House for sale in Shahdara, New Delhi",Mid sized Property,Mid Segment
4001,Property in  Ashok Vihar,Independent House,5 BHK,3,Yes,New Delhi,"Rana Pratap Bagh, Ashok Vihar,New Delhi",1780,39330,70000000,"5 BHK Independent House for sale in Ashok Vihar, New Delhi",Mid sized Property,Luxury Segment
4002,Property in  Budh Vihar,Independent House,6 BHK,4,Yes,New Delhi,"Budh Vihar Phase II, Budh Vihar,New Delhi",2700,4630,12500000,"6 BHK Independent House for sale in Budh Vihar, New Delhi",Mid-Large sized Property,Mid Segment
4003,Property in  Najafgarh,Independent House,10 BHK,6,Yes,New Delhi,"Dharampura, Najafgarh,New Delhi",3600,6390,23000000,"10.5 BHK Independent House for sale in Najafgarh, New Delhi",Large Property,Mid Segment
4004,Property in  Lajpat Nagar,Flat,2 BHK,3,No,New Delhi,"Lajpat Nagar III, Lajpat Nagar,New Delhi",900,12220,11000000,"2 BHK Flat for sale in Lajpat Nagar, New Delhi",Mid sized Property,Mid Segment
4005,Property in  Dilshad Garden,Flat,3 BHK,3,No,New Delhi,"Taharpur Village, Dilshad Garden,New Delhi",1200,8330,10000000,"3 BHK Flat for sale in Dilshad Garden, New Delhi",Mid sized Property,Mid Segment
4006,Property in  Khanpur,Independent House,10 BHK,3,No,New Delhi,"Raju Park, Khanpur,New Delhi",900,11110,10000000,"10 BHK Independent House for sale in Khanpur, New Delhi",Mid sized Property,Mid Segment
4007,Property in  Sector 22 Dwarka,Independent House,6 BHK,1,Yes,New Delhi,"Ranjit Vihar-I, Sector 22 Dwarka,New Delhi",800,49630,39700000,"6 BHK Independent House for sale in Sector 22 Dwarka, New Delhi",Small Property,Luxury Segment
4008,Property in  Old Delhi,Independent House,4 BHK,3,Yes,New Delhi,"Hauz Qazi, Old Delhi,New Delhi",1800,6940,12500000,"4 BHK Independent House for sale in Old Delhi, New Delhi",Mid sized Property,Mid Segment
4009,Property in  Sagar Pur,Independent House,7 BHK,3,No,New Delhi,"Block RZ, Sagar Pur,New Delhi",950,25260,24000000,"7 BHK Independent House for sale in Sagar Pur, New Delhi",Mid sized Property,Mid Segment
4010,Property in Janakpuri,Independent House,5 BHK,5,Yes,New Delhi,"Janakpuri, New Delhi",3500,4570,16000000,"5 BHK Independent House for sale in Janakpuri, New Delhi",Mid-Large sized Property,Mid Segment
4011,Property in Mayur Vihar Phase 3,Flat,4 BHK,3,No,New Delhi,"Mayur Vihar Phase 3, New Delhi",1500,11330,17000000,"4 BHK Flat for sale in Mayur Vihar Phase 3, New Delhi",Mid sized Property,Mid Segment
4012,Property in  Subhash Nagar,Independent House,6 BHK,4,Yes,New Delhi,"Block 5, Subhash Nagar,New Delhi",2835,10580,30000000,"6 BHK Independent House for sale in Subhash Nagar, New Delhi",Mid-Large sized Property,Mid Segment
4013,Property in  Shalimar Bagh,Independent House,3 BHK,3,Yes,New Delhi,"AJ block shalimar bagh,Poorvi Shalimar Bagh, Shalimar Bagh,New Delhi",1700,9410,16000000,"3 BHK Independent House for sale in Shalimar Bagh, New Delhi",Mid sized Property,Mid Segment
4014,Property in  Panchsheel Park,Flat,3 BHK,2,Yes,New Delhi,"Panchsheel Park South, Panchsheel Park,New Delhi",2000,17500,35000000,"3 BHK Flat for sale in Panchsheel Park, New Delhi",Mid sized Property,Luxury Segment
4015,Property in  Vasant Vihar,Flat,4 BHK,4,Yes,New Delhi,"Block F, Vasant Vihar,New Delhi",2600,35580,92500000,"4 BHK Flat for sale in Vasant Vihar, New Delhi",Mid-Large sized Property,Luxury Segment
4016,Property in Sector 12 Dwarka,Flat,3 BHK,3,Yes,New Delhi,"Classic Apartments,Sector 12 Dwarka, New Delhi",1850,6760,12500000,"3 BHK Flat for sale in Sector 12 Dwarka, New Delhi",Mid sized Property,Mid Segment
4017,Property in Sector 12 Dwarka,Flat,4 BHK,4,Yes,New Delhi,"Classic Apartments,Sector 12 Dwarka, New Delhi",2100,15000,31500000,"4 BHK Flat for sale in Sector 12 Dwarka, New Delhi",Mid-Large sized Property,Luxury Segment
4018,Property in  Mayur Vihar II,Independent House,4 BHK,4,Yes,New Delhi,"Pocket B, Mayur Vihar II,New Delhi",3498,8580,30000000,"4 BHK Independent House for sale in Mayur Vihar II, New Delhi",Mid-Large sized Property,Mid Segment
4019,Property in  Sagar Pur,Independent House,7 BHK,3,No,New Delhi,"Block RZ, Sagar Pur,New Delhi",950,27370,26000000,"7 BHK Independent House for sale in Sagar Pur, New Delhi",Mid sized Property,Mid Segment
4020,Property in  Bali Nagar,Independent House,3 BHK,3,Yes,New Delhi,"Block D, Bali Nagar,New Delhi",1800,33330,60000000,"3 BHK Independent House for sale in Bali Nagar, New Delhi",Mid sized Property,Luxury Segment
4021,Property in Sector 19 Dwarka,Independent House,2 BHK,2,Yes,New Delhi,"Sector 19 Dwarka, New Delhi",581,34420,20000000,"2 BHK Independent House for sale in Sector 19 Dwarka, New Delhi",Small Property,Mid Segment
4022,Property in  Malviya Nagar,Independent House,3 BHK,3,Yes,New Delhi,"DDA Flats, Malviya Nagar,New Delhi",1800,13890,25000000,"3 BHK Independent House for sale in Malviya Nagar, New Delhi",Mid sized Property,Mid Segment
4023,Property in Todapur,Independent House,10 BHK,4,Yes,New Delhi,"Todapur, New Delhi",2763,9050,25000000,"10 BHK Independent House for sale in Todapur, New Delhi",Mid-Large sized Property,Mid Segment
4024,Property in Sector 24 Rohini,Independent House,5 BHK,4,Yes,New Delhi,"Sector 24 Rohini, New Delhi",2500,9400,23500000,"5 BHK Independent House for sale in Sector 24 Rohini, New Delhi",Mid-Large sized Property,Mid Segment
4025,Property in  Model Town,Flat,4 BHK,3,Yes,New Delhi,"Moti Rattan Apartment ,Dhirpur Village, Model Town,New Delhi",1229,13020,16000000,"4 BHK Flat for sale in Model Town, New Delhi",Mid sized Property,Mid Segment
4026,Property in  Shahdara,Independent House,6 BHK,2,Yes,New Delhi,"Babarpur Village, Shahdara,New Delhi",720,17360,12500000,"6 BHK Independent House for sale in Shahdara, New Delhi",Small Property,Mid Segment
4027,Property in Govindpuri,Independent House,3 BHK,3,Yes,New Delhi,"Bakshi,Govindpuri, New Delhi",1045,16270,17000000,"3 BHK Independent House for sale in Govindpuri, New Delhi",Mid sized Property,Mid Segment
4028,Property in  Krishna Nagar,Independent House,2 BHK,2,Yes,New Delhi,"Block E, Krishna Nagar,New Delhi",450,35550,16000000,"2 BHK Independent House for sale in Krishna Nagar, New Delhi",Small Property,Mid Segment
4029,Property in  Dabri,Independent House,2 BHK,3,Yes,New Delhi,"Raghu Nagar, Dabri,New Delhi",2000,25000,50000000,"2 BHK Independent House for sale in Dabri, New Delhi",Mid sized Property,Luxury Segment
4030,Property in  Lajpat Nagar,Flat,3 BHK,3,Yes,New Delhi,"Vikram Vihar,Lajpat Nagar III, Lajpat Nagar,New Delhi",1800,18050,32500000,"3 BHK Flat for sale in Lajpat Nagar, New Delhi",Mid sized Property,Luxury Segment
4031,Property in  Tagore Garden Extension,Independent House,6 BHK,2,No,New Delhi,"Tagore Garden, Tagore Garden Extension,New Delhi",720,47220,34000000,"6 BHK Independent House for sale in Tagore Garden Extension, New Delhi",Small Property,Luxury Segment
4032,Property in  Anand Vihar,Villa,4 BHK,1,Yes,New Delhi,"Ashoka Niketan, Anand Vihar,New Delhi",7500,21330,160000000,"4 BHK Villa for sale in Anand Vihar, New Delhi",Large Property,UltraLuxury Segment
4033,Property in Haiderpur,Independent House,9 BHK,4,Yes,New Delhi,"Haiderpur, New Delhi",2700,5740,15500000,"9 BHK Independent House for sale in Haiderpur, New Delhi",Mid-Large sized Property,Mid Segment
4034,Property in  Mayur Vihar Phase 1,Independent House,4 BHK,3,Yes,New Delhi,"Pocket 1, Mayur Vihar Phase 1,New Delhi",1800,8050,14500000,"4 BHK Independent House for sale in Mayur Vihar Phase 1, New Delhi",Mid sized Property,Mid Segment
4035,Property in Ramesh Nagar,Flat,4 BHK,3,Yes,New Delhi,"Ramesh Nagar, New Delhi",1550,8390,13000000,"4 BHK Flat for sale in Ramesh Nagar, New Delhi",Mid sized Property,Mid Segment
4036,Property in Dera Mandi,Independent House,6 BHK,6,Yes,New Delhi,"Dera Mandi, New Delhi",15000,13330,200000000,"6 BHK Independent House for sale in Dera Mandi, New Delhi",Large Property,UltraLuxury Segment
4037,Property in  Rajinder Nagar,Flat,3 BHK,4,Yes,New Delhi,"sushma Apartment ,Part 1, Rajinder Nagar,New Delhi",2250,17780,40000000,"3 BHK Flat for sale in Rajinder Nagar, New Delhi",Mid-Large sized Property,Luxury Segment
4038,Property in  Karawal Nagar,Independent House,3 BHK,3,Yes,New Delhi,"Shiv Vihar, Karawal Nagar,New Delhi",899,13350,12000000,"3 BHK Independent House for sale in Karawal Nagar, New Delhi",Mid sized Property,Mid Segment
4039,Property in  Bindapur,Independent House,6 BHK,3,Yes,New Delhi,"Chanakya Place I, Bindapur,New Delhi",900,15000,13500000,"6 BHK Independent House for sale in Bindapur, New Delhi",Mid sized Property,Mid Segment
4040,Property in  Sitapuri,Independent House,4 BHK,3,No,New Delhi,"Sitapuri Part 2, Sitapuri,New Delhi",900,16670,15000000,"4 BHK Independent House for sale in Sitapuri, New Delhi",Mid sized Property,Mid Segment
4041,Property in  Punjabi Bagh,Flat,3 BHK,3,Yes,New Delhi,"R K Builder,West Punjabi Bagh, Punjabi Bagh,New Delhi",1700,17060,29000000,"3 BHK Flat for sale in Punjabi Bagh, New Delhi",Mid sized Property,Mid Segment
4042,Property in  Palam,Independent House,5 BHK,3,Yes,New Delhi,"Raj Nagar, Palam,New Delhi",1745,10310,18000000,"5 BHK Independent House for sale in Palam, New Delhi",Mid sized Property,Mid Segment
4043,Property in Laxmi Nagar,Independent House,4 BHK,3,Yes,New Delhi,"Laxmi Nagar, New Delhi",1728,27200,47000000,"4 BHK Independent House for sale in Laxmi Nagar, New Delhi",Mid sized Property,Luxury Segment
4044,Property in  Karol Bagh,Independent House,1 RK,1,No,New Delhi,"Dev Nagar, Karol Bagh,New Delhi",150,1600,24000000,"1 BHK Independent House for sale in Karol Bagh, New Delhi",Small Property,Mid Segment
4045,Property in Mandawali,Independent House,5 BHK,1,Yes,New Delhi,"Mandawali, New Delhi",6885,1600,11000000,"5 BHK Independent House for sale in Mandawali, New Delhi",Large Property,Mid Segment
4046,Property in  Shalimar Bagh,Independent House,3 BHK,3,Yes,New Delhi,"West Shalimar Bagh, Shalimar Bagh,New Delhi",1500,20400,30600000,"3 BHK Independent House for sale in Shalimar Bagh, New Delhi",Mid sized Property,Luxury Segment
4047,Property in  Shalimar Bagh,Independent House,1 RK,3,Yes,New Delhi,"West Shalimar Bagh, Shalimar Bagh,New Delhi",800,75000,60000000,"1.5 BHK Independent House for sale in Shalimar Bagh, New Delhi",Small Property,Luxury Segment
4048,Property in  Najafgarh,Independent House,6 BHK,4,Yes,New Delhi,"Shyam Vihar I, Najafgarh,New Delhi",2700,7040,19000000,"6 BHK Independent House for sale in Najafgarh, New Delhi",Mid-Large sized Property,Mid Segment
4049,Property in  Tri Nagar,Independent House,3 BHK,4,Yes,New Delhi,"Keshav Puram, Tri Nagar,New Delhi",3000,10000,30000000,"3 BHK Independent House for sale in Tri Nagar, New Delhi",Mid-Large sized Property,Mid Segment
4050,Property in  Punjabi Bagh,Flat,3 BHK,1,Yes,New Delhi,"Punjabi Bagh Apartment,West Punjabi Bagh, Punjabi Bagh,New Delhi",800,34380,27500000,"3 BHK Flat for sale in Punjabi Bagh, New Delhi",Small Property,Mid Segment
4051,Property in Civil Lines,Independent House,10 BHK,2,Yes,New Delhi,"Civil Lines, New Delhi",9900,35350,350000000,"10 BHK Independent House for sale in Civil Lines, New Delhi",Large Property,UltraLuxury Segment
4052,Property in  Krishna Nagar,Independent House,4 BHK,2,No,New Delhi,"Block E, Krishna Nagar,New Delhi",500,21000,10500000,"4 BHK Independent House for sale in Krishna Nagar, New Delhi",Small Property,Mid Segment
4053,Property in  South Extension I,Flat,3 BHK,3,Yes,New Delhi,"SOUTH EX ,Kotla Mubarakpur, South Extension I,New Delhi",1800,8890,16000000,"3 BHK Flat for sale in South Extension I, New Delhi",Mid sized Property,Mid Segment
4054,Property in  Munirka,Independent House,2 BHK,3,Yes,New Delhi,"Block BD, Munirka,New Delhi",7000,2140,15000000,"2 BHK Independent House for sale in Munirka, New Delhi",Large Property,Mid Segment
4055,Property in  Palam,Independent House,4 BHK,3,Yes,New Delhi,"Raj Nagar, Palam,New Delhi",1745,10890,19000000,"4 BHK Independent House for sale in Palam, New Delhi",Mid sized Property,Mid Segment
4056,Property in  Inder Puri,Independent House,2 BHK,2,No,New Delhi,"Block F, Inder Puri,New Delhi",450,35550,16000000,"2 BHK Independent House for sale in Inder Puri, New Delhi",Small Property,Mid Segment
4057,Property in  Vasant Kunj,Villa,4 BHK,2,Yes,New Delhi,"Sector D, Vasant Kunj,New Delhi",6000,13670,82000000,"4 BHK Villa for sale in Vasant Kunj, New Delhi",Large Property,Luxury Segment
4058,Property in  Lajpat Nagar,Villa,2 BHK,3,Yes,New Delhi,"Amar Colony, Lajpat Nagar,New Delhi",900,17780,16000000,"2 BHK Villa for sale in Lajpat Nagar, New Delhi",Mid sized Property,Mid Segment
4059,Property in  Najafgarh,Independent House,6 BHK,4,Yes,New Delhi,"Shyam Vihar I, Najafgarh,New Delhi",2750,6540,18000000,"6 BHK Independent House for sale in Najafgarh, New Delhi",Mid-Large sized Property,Mid Segment
4060,Property in  Chhattarpur,Independent House,4 BHK,3,Yes,New Delhi,"JVTS garden,Chhattarpur Extension, Chhattarpur,New Delhi",1800,7500,13500000,"4 BHK Independent House for sale in Chhattarpur, New Delhi",Mid sized Property,Mid Segment
4061,Property in  Laxmi Nagar,Independent House,4 BHK,4,Yes,New Delhi,"Vishwakarma Park, Laxmi Nagar,New Delhi",2700,9260,25000000,"4 BHK Independent House for sale in Laxmi Nagar, New Delhi",Mid-Large sized Property,Mid Segment
4062,Property in  Najafgarh,Independent House,7 BHK,3,Yes,New Delhi,"Dharampura, Najafgarh,New Delhi",3000,4000,12000000,"7 BHK Independent House for sale in Najafgarh, New Delhi",Mid-Large sized Property,Mid Segment
4063,Property in  Tughlakabad,Independent House,5 BHK,3,No,New Delhi,"Tughlakabad Extension, Tughlakabad,New Delhi",900,25000,22500000,"5 BHK Independent House for sale in Tughlakabad, New Delhi",Mid sized Property,Mid Segment
4064,Property in  Krishna Nagar,Independent House,10 BHK,3,No,New Delhi,"Radheypuri, Krishna Nagar,New Delhi",1600,31250,50000000,"10 BHK Independent House for sale in Krishna Nagar, New Delhi",Mid sized Property,Luxury Segment
4065,Property in Janakpuri,Flat,3 BHK,3,No,New Delhi,"Janakpuri, New Delhi",1080,12040,13000000,"3 RK Flat for sale in Janakpuri, New Delhi",Mid sized Property,Mid Segment
4066,Property in  Model Town,Independent House,3 BHK,2,No,New Delhi,"Phase 3, Model Town,New Delhi",774,45220,35000000,"3 BHK Independent House for sale in Model Town, New Delhi",Small Property,Luxury Segment
4067,Property in Neeti Bagh,Independent House,4 BHK,3,Yes,New Delhi,"Neeti Bagh, New Delhi",2000,10000,20000000,"4 BHK Independent House for sale in Neeti Bagh, New Delhi",Mid sized Property,Mid Segment
4068,Property in  Neb Sarai,Independent House,4 BHK,5,Yes,New Delhi,"Indra Enclave, Neb Sarai,New Delhi",4590,8710,40000000,"4 BHK Independent House for sale in Neb Sarai, New Delhi",Large Property,Luxury Segment
4069,Property in Chhattarpur,Independent House,10 BHK,3,No,New Delhi,"Chhattarpur, New Delhi",1000,14500,14500000,"10 BHK Independent House for sale in Chhattarpur, New Delhi",Mid sized Property,Mid Segment
4070,Property in  Jaitpur,Independent House,3 BHK,2,Yes,New Delhi,"Khadda Colony, Jaitpur,New Delhi",450,58890,26500000,"3 BHK Independent House for sale in Jaitpur, New Delhi",Small Property,Mid Segment
4071,Property in Model Town,Flat,2 BHK,3,No,New Delhi,"Model Town, New Delhi",950,11580,11000000,"2 BHK Flat for sale in Model Town, New Delhi",Mid sized Property,Mid Segment
4072,Property in  Badarpur,Independent House,8 BHK,3,Yes,New Delhi,"Molarband Extension, Badarpur,New Delhi",3350,4180,14000000,"8 BHK Independent House for sale in Badarpur, New Delhi",Mid-Large sized Property,Mid Segment
4073,Property in  Krishna Nagar,Independent House,5 BHK,1,No,New Delhi,"Block E, Krishna Nagar,New Delhi",378,33070,12500000,"5 BHK Independent House for sale in Krishna Nagar, New Delhi",Small Property,Mid Segment
4074,Property in  New Mustafabad,Independent House,6 BHK,3,No,New Delhi,"Old Mustafabad, New Mustafabad,New Delhi",900,14440,13000000,"6 BHK Independent House for sale in New Mustafabad, New Delhi",Mid sized Property,Mid Segment
4075,Property in Tis Hazari,Independent House,8 BHK,2,No,New Delhi,"Tis Hazari, New Delhi",585,20510,12000000,"8 BHK Independent House for sale in Tis Hazari, New Delhi",Small Property,Mid Segment
4076,Property in  Shakarpur Khas,Independent House,8 BHK,4,Yes,New Delhi,"Nanakpura, Shakarpur Khas,New Delhi",3150,6980,22000000,"8 BHK Independent House for sale in Shakarpur Khas, New Delhi",Mid-Large sized Property,Mid Segment
4077,Property in  Sector 6 Rohini,Independent House,1 RK,2,Yes,New Delhi,"Sector 6C, Sector 6 Rohini,New Delhi",520,25000,13000000,"1 BHK Independent House for sale in Sector 6 Rohini, New Delhi",Small Property,Mid Segment
4078,Property in  Munirka,Independent House,2 BHK,3,No,New Delhi,"Block BD, Munirka,New Delhi",1000,11000,11000000,"2 BHK Independent House for sale in Munirka, New Delhi",Mid sized Property,Mid Segment
4079,Property in  Najafgarh,Independent House,8 BHK,3,Yes,New Delhi,"Dharampura, Najafgarh,New Delhi",1800,5550,10000000,"8 BHK Independent House for sale in Najafgarh, New Delhi",Mid sized Property,Mid Segment
4080,Property in Mukherjee Nagar,Flat,2 BHK,3,Yes,New Delhi,"Signature View Apartments,Mukherjee Nagar, New Delhi",1351,14060,19000000,"2 BHK Flat for sale in Mukherjee Nagar, New Delhi",Mid sized Property,Mid Segment
4081,Property in Mayur Vihar Phase 1,Flat,4 BHK,3,Yes,New Delhi,"RWA Pocket 2,Mayur Vihar Phase 1, New Delhi",1200,13330,16000000,"4 BHK Flat for sale in Mayur Vihar Phase 1, New Delhi",Mid sized Property,Mid Segment
4082,Property in  Mayur Vihar Phase 1,Flat,4 BHK,3,Yes,New Delhi,"Mayur Vihar Phase 1 Extension, Mayur Vihar Phase 1,New Delhi",1184,13510,16000000,"4 BHK Flat for sale in Mayur Vihar Phase 1, New Delhi",Mid sized Property,Mid Segment
4083,Property in Pul Prahlad Pur,Independent House,5 BHK,4,Yes,New Delhi,"Pul Prahlad Pur, New Delhi",2700,22220,60000000,"5 BHK Independent House for sale in Pul Prahlad Pur, New Delhi",Mid-Large sized Property,Luxury Segment
4084,Property in  Sudarshan Park,Independent House,4 BHK,4,Yes,New Delhi,"Block E, Sudarshan Park,New Delhi",2400,4580,11000000,"4 BHK Independent House for sale in Sudarshan Park, New Delhi",Mid-Large sized Property,Mid Segment
